Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species
99,5.1,2.5,3.0,1.1,setosa
100,5.7,2.8,4.1,1.3,setosa
101,6.3,3.3,6.0,2.5,versicolor
102,5.8,2.7,5.1,1.9,versicolor
103,7.1,3.0,5.9,2.1,versicolor
104,6.3,2.9,5.6,1.8,versicolor
105,6.5,3.0,5.8,2.2,versicolor
106,7.6,3.0,6.6,2.1,versicolor
107,4.9,2.5,4.5,1.7,versicolor
108,7.3,2.9,6.3,1.8,versicolor
109,6.7,2.5,5.8,1.8,versicolor
110,7.2,3.6,6.1,2.5,versicolor
111,6.5,3.2,5.1,2.0,versicolor
112,6.4,2.7,5.3,1.9,versicolor
113,6.8,3.0,5.5,2.1,versicolor
114,5.7,2.5,5.0,2.0,versicolor
115,5.8,2.8,5.1,2.4,versicolor
116,6.4,3.2,5.3,2.3,versicolor
117,6.5,3.0,5.5,1.8,versicolor
118,7.7,3.8,6.7,2.2,versicolor
119,7.7,2.6,6.9,2.3,versicolor
120,6.0,2.2,5.0,1.5,versicolor
121,6.9,3.2,5.7,2.3,versicolor
122,5.6,2.8,4.9,2.0,versicolor
123,7.7,2.8,6.7,2.0,versicolor
124,6.3,2.7,4.9,1.8,versicolor
125,6.7,3.3,5.7,2.1,versicolor
126,7.2,3.2,6.0,1.8,versicolor
127,6.2,2.8,4.8,1.8,versicolor
128,6.1,3.0,4.9,1.8,versicolor
129,6.4,2.8,5.6,2.1,versicolor
130,7.2,3.0,5.8,1.6,versicolor
131,7.4,2.8,6.1,1.9,versicolor
132,7.9,3.8,6.4,2.0,versicolor
133,6.4,2.8,5.6,2.2,versicolor
134,6.3,2.8,5.1,1.5,versicolor
135,6.1,2.6,5.6,1.4,versicolor
136,7.7,3.0,6.1,2.3,versicolor
137,6.3,3.4,5.6,2.4,versicolor
138,6.4,3.1,5.5,1.8,versicolor
139,6.0,3.0,4.8,1.8,versicolor
140,6.9,3.1,5.4,2.1,versicolor
141,6.7,3.1,5.6,2.4,versicolor
142,6.9,3.1,5.1,2.3,versicolor
143,5.8,2.7,5.1,1.9,versicolor
144,6.8,3.2,5.9,2.3,versicolor
145,6.7,3.3,5.7,2.5,versicolor
146,6.7,3.0,5.2,2.3,versicolor
147,6.3,2.5,5.0,1.9,versicolor
148,6.5,3.0,5.2,2.0,versicolor
149,6.2,3.4,5.4,2.3,versicolor
150,5.9,3.0,5.1,1.8,versicolor
